Activity Subject Average
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 1 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 2 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 3 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 4 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 5 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 6 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 7 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 8 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
1 9 44.5
